name,type,start_time,duration
"Test Analyzer","disable",0.8478172,0.0000001
"Test Analyzer","enable",0.8505078,0.0000001
"Test Analyzer","disable",0.8508312,0.0000001
"Test Analyzer","enable",0.8535868,0.0000001
"Test Analyzer","disable",0.855314,0.0000001
"Test Analyzer","error",0.8565127,0.0014015
"Test Analyzer","enable",0.8590366,0.0000001
"Test Analyzer","disable",0.8612968,0.0000001
"Test Analyzer","error",0.8637247,0.0024128
"Test Analyzer","error",0.8683106,0.0029711
"Test Analyzer","error",0.8719814,0.0002321
"Test Analyzer","enable",0.8741245,0.0000001
"Test Analyzer","disable",0.8757891,0.0000001
"Test Analyzer","error",0.876942,0.0005431
"Test Analyzer","enable",0.8802573,0.0000001
"Test Analyzer","disable",0.8827002,0.0000001
"Test Analyzer","error",0.8828119,0.0026022
"Test Analyzer","enable",0.8881885,0.0000001
"Test Analyzer","disable",0.8902798,0.0000001
"Test Analyzer","error",0.8928273,0.002225
"Test Analyzer","error",0.8965392,0.002365
"Test Analyzer","error",0.900357,0.000891
"Test Analyzer","error",0.9037189,0.0031921
"Test Analyzer","enable",0.9086675,0.0000001
"Test Analyzer","disable",0.9106298,0.0000001
"Test Analyzer","error",0.9116487,0.0014568
"Test Analyzer","enable",0.9157624,0.0000001
"Test Analyzer","disable",0.9162592,0.0000001
"Test Analyzer","error",0.9180725,0.0001814
"Test Analyzer","error",0.9212344,0.0019671
"Test Analyzer","error",0.9263312,0.0000297
"Test Analyzer","enable",0.9290812,0.0000001
"Test Analyzer","disable",0.9317811,0.0000001
"Test Analyzer","enable",0.9339514,0.0000001
"Test Analyzer","disable",0.9361702,0.0000001
"Test Analyzer","error",0.9389954,0.0003713
"Test Analyzer","enable",0.9395764,0.0000001
"Test Analyzer","disable",0.9425946,0.0000001
"Test Analyzer","enable",0.9429978,0.0000001
"Test Analyzer","disable",0.9430562,0.0000001
"Test Analyzer","enable",0.9454532,0.0000001
"Test Analyzer","disable",0.948359,0.0000001
"Test Analyzer","error",0.9497811,0.0007177
"Test Analyzer","enable",0.9517221,0.0000001
"Test Analyzer","disable",0.9539305,0.0000001
"Test Analyzer","enable",0.9555735,0.0000001
"Test Analyzer","disable",0.9564158,0.0000001
"Test Analyzer","error",0.9595641,0.0026546
"Test Analyzer","enable",0.9648228,0.0000001
"Test Analyzer","disable",0.9678266,0.0000001
"Test Analyzer","enable",0.9699237,0.0000001
"Test Analyzer","disable",0.9724256,0.0000001
"Test Analyzer","error",0.9733157,0.0013274
"Test Analyzer","error",0.9776263,0.0006591
"Test Analyzer","enable",0.9789656,0.0000001
"Test Analyzer","disable",0.9804013,0.0000001
"Test Analyzer","error",0.9836675,0.0010025
"Test Analyzer","enable",0.9876538,0.0000001
"Test Analyzer","disable",0.9900111,0.0000001
"Test Analyzer","enable",0.9901689,0.0000001
"Test Analyzer","disable",0.9909253,0.0000001
"Test Analyzer","enable",0.9911768,0.0000001
"Test Analyzer","disable",0.9937458,0.0000001
"Test Analyzer","error",0.9970163,0.0021512
"Test Analyzer","error",1.0015132,0.0012044
